"year","month","day","Pp","Tmax","Tmin"
2001,1,1,4.1,NA,0.6
2001,1,2,25.4,NA,0.2
2001,1,3,16,NA,0.7
2001,1,4,1.9,NA,1.8
2001,1,5,7.5,NA,2.1
2001,1,6,10.2,NA,1.8
2001,1,7,0,NA,2.6
2001,1,8,0,NA,1.2
2001,1,9,0,NA,0.4
2001,1,10,1.9,NA,1.1
2001,1,11,19.7,NA,1.7
2001,1,12,1.2,NA,-1.9
2001,1,13,0,NA,1.3
2001,1,14,29.9,NA,1.3
2001,1,15,0,NA,1.2
2001,1,16,0.8,NA,0.6
2001,1,17,0,NA,1.2
2001,1,18,0,NA,0
2001,1,19,12.5,NA,1.8
2001,1,20,24.1,NA,0.1
2001,1,21,0,NA,-1.8
2001,1,22,0,NA,1.6
2001,1,23,1.5,NA,2.2
2001,1,24,11.6,NA,2.2
2001,1,25,1.6,NA,3.1
2001,1,26,3.2,NA,3.2
2001,1,27,27.9,NA,2.6
2001,1,28,9.1,NA,3.6
2001,1,29,15.2,NA,1.2
2001,1,30,5.5,NA,3.2
2001,1,31,0.3,NA,1.6
2001,2,1,7.2,NA,3.6
2001,2,2,2.3,NA,3.2
2001,2,3,5.9,NA,2.8
2001,2,4,3.8,NA,2.9
2001,2,5,11.2,NA,1.6
2001,2,6,0,NA,2.8
2001,2,7,9.9,NA,2.2
2001,2,8,14,NA,2.4
2001,2,9,3.2,NA,2.2
2001,2,10,0,NA,1.6
2001,2,11,8.7,NA,2
2001,2,12,30.3,NA,3.6
2001,2,13,7.6,NA,2
2001,2,14,15,NA,1.3
2001,2,15,14.7,NA,1.4
2001,2,16,3.8,NA,0.1
2001,2,17,8.5,NA,2.4
2001,2,18,1.2,NA,1.2
2001,2,19,14.3,NA,2.3
2001,2,20,0.8,NA,2.5
2001,2,21,0,NA,1.7
2001,2,22,9.4,NA,1.2
2001,2,23,26.3,NA,2
2001,2,24,7.1,NA,0.3
2001,2,25,13.5,NA,2.2
2001,2,26,0.4,NA,1.2
2001,2,27,8.8,NA,2.3
2001,2,28,12,NA,0.7
2001,3,1,2.3,NA,2.3
2001,3,2,18.8,NA,1.9
2001,3,3,8.5,NA,2.6
2001,3,4,7,NA,1.2
2001,3,5,2.5,NA,0.1
2001,3,6,6.3,NA,2.2
2001,3,7,4.2,NA,2.6
2001,3,8,2.3,NA,4.9
2001,3,9,8.2,NA,3.8
2001,3,10,0.4,NA,3.9
2001,3,11,17.6,NA,3.6
2001,3,12,9.4,NA,3.1
2001,3,13,1.2,NA,0.2
2001,3,14,0.7,NA,2.1
2001,3,15,2.4,NA,3.9
2001,3,16,8.6,NA,2
2001,3,17,4,NA,2.6
2001,3,18,4.8,NA,2.9
2001,3,19,2.9,NA,3.1
2001,3,20,6.9,NA,3.2
2001,3,21,0,NA,2.2
2001,3,22,0,NA,2
2001,3,23,0,NA,0.3
2001,3,24,0,NA,1.3
2001,3,25,0,NA,0.9
2001,3,26,1.6,NA,2.2
2001,3,27,1.4,NA,2.1
2001,3,28,0,NA,2
2001,3,29,0,NA,3.6
2001,3,30,2.7,NA,1.9
2001,3,31,0,NA,-0.2
2001,4,1,3,NA,4.3
2001,4,2,1.4,NA,-0.3
2001,4,3,1.2,NA,-2.4
2001,4,4,2.5,NA,-0.2
2001,4,5,15.4,NA,0.6
2001,4,6,0,NA,0.8
2001,4,7,28.1,NA,2.2
2001,4,8,0,NA,0.3
2001,4,9,1.3,NA,1.1
2001,4,10,5.6,NA,3.2
2001,4,11,0,NA,2.8
2001,4,12,15.2,NA,3.1
2001,4,13,0,NA,2.6
2001,4,14,0,NA,1.2
2001,4,15,0,NA,1.1
2001,4,16,0,NA,-1.3
2001,4,17,0,NA,-2
2001,4,18,0,NA,-1.8
2001,4,19,1.1,NA,2.6
2001,4,20,0,NA,1.8
2001,4,21,0,NA,-1.1
2001,4,22,0,NA,0.2
2001,4,23,0,NA,-2.5
2001,4,24,0,NA,-2.4
2001,4,25,0,NA,-4.3
2001,4,26,0,NA,-2.1
2001,4,27,2.1,NA,2.1
2001,4,28,1.9,NA,0.2
2001,4,29,0,NA,-2.2
2001,4,30,0,NA,-2.1
2001,5,1,0,NA,-2.4
2001,5,2,0,NA,-1.9
2001,5,3,0,NA,0.2
2001,5,4,0,NA,2.7
2001,5,5,2.3,NA,1.4
2001,5,6,0,NA,0.1
2001,5,7,0,NA,-1.1
2001,5,8,0,NA,-4.8
2001,5,9,0,NA,-4.9
2001,5,10,0,NA,-4.7
2001,5,11,0.4,NA,-4.6
2001,5,12,0,NA,1.1
2001,5,13,2.5,NA,-0.2
2001,5,14,0,NA,2.4
2001,5,15,0,NA,1.8
2001,5,16,0,NA,-4.2
2001,5,17,0,NA,-3.2
2001,5,18,0,NA,-0.2
2001,5,19,0,NA,-1.8
2001,5,20,0,NA,-2.1
2001,5,21,0,NA,-4.2
2001,5,22,0,NA,-4.9
2001,5,23,0,NA,-4.8
2001,5,24,0,NA,-5.6
2001,5,25,0,NA,-6.4
2001,5,26,0,NA,-8.9
2001,5,27,0,NA,-8.6
2001,5,28,0,NA,-7.6
2001,5,29,0,NA,-6.5
2001,5,30,0,NA,-3.5
2001,5,31,0,NA,-4.5
2001,6,1,0,NA,-6.1
2001,6,2,0,NA,-6.2
2001,6,3,0,NA,-2.2
2001,6,4,0,NA,0.6
2001,6,5,0,NA,-4
2001,6,6,0,NA,-3.5
2001,6,7,0,NA,-3.3
2001,6,8,0,NA,-4.1
2001,6,9,0,NA,-3.2
2001,6,10,0,NA,-3.3
2001,6,11,0,NA,-4.4
2001,6,12,0,NA,-2.6
2001,6,13,0,NA,-4.8
2001,6,14,0,NA,-7
2001,6,15,0,NA,-4.3
2001,6,16,0,NA,-8.1
2001,6,17,0,NA,-8.5
2001,6,18,0,NA,-9.1
2001,6,19,0,NA,-10.6
2001,6,20,0,NA,-10.4
2001,6,21,0,NA,-3.6
2001,6,22,3.9,NA,-6
2001,6,23,0,NA,-4
2001,6,24,0,NA,-3.6
2001,6,25,0,NA,-4.8
2001,6,26,0,NA,-6.5
2001,6,27,0,NA,-5.3
2001,6,28,0,NA,-5.5
2001,6,29,0,NA,-6.5
2001,6,30,0,NA,-6.3
2001,7,1,0,NA,-3.4
