,ho00000686,ho00000687,ho00000690,ho00000755,ho00000758,ho00000765,ho00000807,ho00000849,ho00000851,ho00000860,ho00158208,ho00158321,ho00158327,ho00000776,ho00000778,ho00000779,ho00000780,ho00000781,ho00000783,ho00000785,ho00000786,ho00000787,ho00000788
2000-01-31,7.000000000000001,8.541935483870969,2.412903225806452,4.848387096774194,4.596774193548386,-0.4933333333333334,,2.435483870967742,6.483870967741937,-5.554838709677419,,,,3.4290322580645154,5.20967741935484,3.625806451612903,4.161290322580645,4.348387096774194,4.6258064516129025,4.3516129032258055,3.6677419354838716,4.838709677419355,3.845161290322581
2000-02-29,7.296551724137931,8.193103448275862,2.268965517241379,4.782758620689655,5.451724137931034,-0.07241379310344828,,2.386206896551724,6.286206896551724,-5.365517241379309,,,,2.6413793103448273,4.927586206896551,3.917241379310345,3.9655172413793105,4.210344827586207,5.162068965517241,3.172413793103448,3.4827586206896552,4.8,3.851724137931035
2000-03-31,5.793548387096774,7.648387096774194,1.8838709677419352,4.038709677419354,4.909677419354838,-0.8258064516129032,,1.893548387096774,6.119354838709677,-7.654838709677418,,,,2.35483870967742,4.235483870967742,3.0903225806451617,4.154838709677419,3.680645161290323,4.022580645161291,2.9580645161290318,2.316129032258064,3.8451612903225807,3.1903225806451623
2000-04-30,3.726666666666667,6.526666666666667,0.6,1.47,3.316666666666667,-4.033333333333334,,-0.5299999999999999,5.5,-14.062068965517241,,,,0.3866666666666666,2.613333333333333,-0.10999999999999997,2.5366666666666666,1.8566666666666665,1.2266666666666663,0.3,0.14333333333333337,1.5766666666666667,0.9633333333333332
2000-05-31,0.5161290322580646,3.416129032258065,-1.7225806451612908,-3.3290322580645157,0.8322580645161292,-7.212903225806452,,-4.312903225806452,3.4451612903225803,-17.579310344827586,,,,-2.287096774193548,0.8741935483870968,-3.1548387096774193,1.2032258064516128,0.1774193548387096,-0.6935483870967742,-0.39354838709677425,-2.632258064516129,-0.3,-1.2741935483870965
2000-06-30,-1.0133333333333332,1.7633333333333332,-2.0933333333333333,-6.5233333333333325,-2.4533333333333327,-11.650000000000002,,-7.709999999999999,0.9966666666666667,-13.822222222222221,,6.324,,-3.4,-0.55,-5.746666666666666,-0.29333333333333333,-1.353333333333333,-3.8600000000000003,-0.4,-4.920000000000001,-1.9200000000000002,-2.943333333333333
2000-07-31,-0.40967741935483865,1.561290322580645,-2.1806451612903226,-9.212903225806452,-2.9774193548387093,-12.722580645161292,,-9.070967741935483,0.5645161290322581,-14.28709677419355,,6.66774193548387,,-3.4,-1.0612903225806454,-7.3354838709677415,-1.5967741935483872,-1.816129032258064,-3.9741935483870967,-3.283870967741936,-6.364516129032259,-2.483870967741936,-3.796774193548388
2000-08-31,2.4935483870967747,3.925806451612903,-0.14838709677419348,-7.796774193548386,-0.5774193548387098,-9.983870967741936,,-6.264516129032257,3.025806451612903,-11.609677419354838,,7.996774193548388,,-2.054838709677419,1.0774193548387097,-4.461290322580646,0.8774193548387098,0.33870967741935487,-1.3193548387096774,-0.5774193548387097,-3.158064516129032,-0.3516129032258066,-1.3999999999999995
2000-09-30,3.5766666666666667,5.036666666666667,1.2666666666666666,-8.05,0.06333333333333337,-10.58666666666667,,-6.706666666666665,3.0333333333333328,-10.16,,7.096666666666667,,-1.3633333333333335,2.086666666666667,-3.226666666666666,1.93,1.0233333333333332,-0.8666666666666668,0.6266666666666668,-1.5366666666666666,0.6266666666666666,-0.7766666666666667
2000-10-31,5.158064516129031,7.000000000000001,2.8266666666666675,-2.9129032258064513,1.7,-5.825806451612903,,-3.2580645161290325,5.109677419354839,-8.432258064516128,,8.474193548387097,,1.0580645161290323,3.251612903225806,0.529032258064516,3.061290322580646,2.893548387096774,2.261290322580645,1.9645161290322581,1.335483870967742,2.3806451612903228,1.5935483870967744
