,ho00000686,ho00000687,ho00000690,ho00000755,ho00000758,ho00000765,ho00000807,ho00000849,ho00000851,ho00000860,ho00158208,ho00158321,ho00158327,ho00000776,ho00000778,ho00000779,ho00000780,ho00000781,ho00000783,ho00000785,ho00000786,ho00000787,ho00000788
2000-01-31,21.66451612903226,19.36129032258064,13.709677419354835,15.600000000000001,16.4,11.006451612903225,,12.435483870967742,15.67741935483871,14.06774193548387,,,,15.27096774193548,15.093548387096776,16.4,,15.490322580645163,16.006451612903223,14.793548387096775,14.68709677419355,14.445161290322579,13.629032258064512
2000-02-29,20.893103448275863,18.565517241379315,13.56551724137931,15.924137931034481,17.693103448275863,10.821428571428573,,11.844827586206897,14.931034482758623,14.306896551724137,,,,14.73448275862069,14.837931034482759,15.572413793103445,,14.98965517241379,14.924137931034481,14.27586206896552,14.227586206896552,14.196551724137933,13.355172413793104
2000-03-31,21.135483870967747,18.9741935483871,13.380645161290321,16.632258064516126,18.661290322580648,12.151612903225807,,13.432258064516128,16.629032258064516,15.01290322580645,,,,15.448387096774194,14.835483870967739,16.18387096774193,,15.687096774193549,15.948387096774193,14.787096774193547,14.48064516129032,14.658064516129034,13.848387096774193
2000-04-30,23.45,20.613333333333333,14.906666666666663,18.37666666666667,20.956666666666663,12.95,,15.236666666666668,19.526666666666664,15.996296296296295,,,,17.619999999999997,16.56666666666667,16.676666666666666,,17.160000000000004,17.51,16.84,15.346666666666668,15.336666666666668,14.40333333333333
2000-05-31,23.545161290322582,21.245161290322578,16.058064516129033,17.851612903225806,20.922580645161293,12.699999999999998,,14.47741935483871,19.506451612903227,15.113793103448275,,,,17.48709677419355,17.11290322580645,16.65806451612903,,17.467741935483872,17.587096774193547,17.529032258064515,15.396774193548385,14.641935483870967,14.693548387096774
2000-06-30,21.950000000000003,19.74,15.18,15.513333333333332,18.026666666666664,10.389999999999997,,11.34,17.209999999999997,12.164705882352942,,21.957692307692305,,15.376666666666667,15.449999999999998,15.579999999999997,,15.793333333333331,15.689999999999998,15.353333333333332,14.51333333333333,13.626666666666667,13.629999999999997
2000-07-31,22.058064516129033,19.548387096774192,14.329032258064514,15.270967741935483,17.69677419354839,10.27741935483871,,10.78064516129032,16.951612903225808,11.03225806451613,,21.751612903225812,,15.074193548387095,14.641935483870965,15.26129032258064,,15.574193548387095,15.429032258064519,14.98709677419355,14.16774193548387,13.519354838709678,12.816129032258063
2000-08-31,22.464516129032262,20.88064516129032,15.225806451612902,16.745161290322578,19.264516129032263,11.858064516129033,,12.490322580645165,18.835483870967742,13.832258064516129,,21.19032258064517,,16.77741935483871,16.232258064516127,16.70967741935484,,17.129032258064516,16.822580645161292,16.593548387096774,15.241935483870966,14.696774193548388,14.116129032258067
2000-09-30,24.13333333333334,22.35333333333333,16.48,19.07333333333333,20.496666666666663,13.893333333333336,,13.85,19.126666666666665,15.433333333333334,,17.91666666666667,,19.006666666666664,17.509999999999998,18.35,,18.57333333333333,18.05,18.36,16.583333333333332,16.333333333333332,15.629999999999997
2000-10-31,22.154838709677414,20.83225806451613,15.179310344827584,17.912903225806453,20.05483870967742,13.04516129032258,,14.82258064516129,20.36774193548387,16.780645161290323,,19.351612903225806,,16.706451612903226,15.593548387096773,16.890322580645158,,16.729032258064517,16.135483870967743,15.316129032258063,14.87741935483871,14.55483870967742,14.103225806451611
2000-11-30,25.753333333333334,23.836666666666666,17.186666666666667,20.339999999999996,21.21666666666666,15.587241379310345,,14.936666666666666,20.05,18.323333333333334,,18.396666666666665,,20.269999999999996,18.71,19.823333333333327,,19.033333333333335,19.313333333333333,18.860000000000003,17.310000000000002,17.509999999999998,16.826666666666668
2000-12-31,22.78064516129033,20.829032258064515,15.890322580645158,18.129032258064516,19.92258064516129,12.754838709677422,,14.029032258064515,20.009677419354837,16.1,,18.067741935483873,,16.464516129032262,15.33548387096774,16.87741935483871,,15.829032258064517,16.219354838709677,15.374193548387096,15.177419354838708,15.016129032258064,14.68709677419355
2001-01-31,19.89032258064516,18.29032258064516,12.961290322580643,15.774193548387096,16.96774193548387,10.690322580645159,,11.387096774193548,16.583870967741937,13.051612903225807,,16.83225806451613,,13.909677419354837,14.364516129032257,15.358064516129033,,14.161290322580648,14.290322580645162,13.322580645161288,13.519354838709676,13.39032258064516,12.951612903225806
2001-02-28,20.175,18.510714285714283,13.057142857142859,16.28214285714286,17.29642857142857,11.353571428571428,,12.742857142857142,16.47857142857143,13.289285714285713,,15.489285714285714,,14.935714285714285,14.842857142857143,15.32142857142857,,14.910714285714288,14.903571428571427,14.157142857142857,14.157142857142857,14.14642857142857,13.321428571428573
2001-03-31,20.85483870967742,19.06451612903226,13.529032258064513,16.49354838709677,17.580645161290324,11.41935483870968,,12.722580645161292,16.35483870967742,12.709677419354838,,16.009677419354837,,15.548387096774196,15.012903225806449,15.454838709677416,,14.912903225806454,15.49032258064516,14.703225806451613,14.01290322580645,14.12258064516129,13.696774193548386
2001-04-30,22.03666666666667,20.19310344827586,14.18,16.98,19.09,11.886666666666665,,13.63,18.893333333333334,13.620000000000001,,18.970000000000002,,16.756666666666668,15.720000000000002,16.053333333333335,,15.97,16.496666666666666,15.8,14.830000000000005,14.606666666666667,14.43
2001-05-31,22.332258064516132,20.058064516129033,14.741935483870966,16.467741935483872,17.851612903225803,11.793548387096772,,12.82258064516129,17.74838709677419,12.703225806451613,,18.322580645161295,,16.151612903225807,15.458064516129033,15.858064516129035,,15.496774193548385,16.316129032258065,15.258064516129032,14.64516129032258,14.519354838709676,14.016129032258062
2001-06-30,21.91,19.743333333333332,14.826666666666663,16.413333333333334,18.143333333333334,11.146666666666667,,13.096666666666668,17.893333333333334,12.29,,19.386666666666667,,15.606666666666667,15.110000000000003,15.419999999999998,,15.18666666666667,15.723333333333333,15.293333333333333,14.406666666666665,13.673333333333336,13.786666666666665
2001-07-31,21.506451612903227,19.9258064516129,14.619354838709675,15.896774193548385,18.335483870967742,11.27586206896552,,12.5,17.816129032258065,13.125806451612904,,19.490322580645163,,16.006451612903223,14.683870967741935,15.490322580645158,,15.077419354838707,15.119354838709677,14.916129032258066,14.00322580645161,13.303225806451614,12.980645161290324
2001-08-31,22.212903225806453,20.077419354838714,14.206666666666667,16.812903225806448,18.58709677419355,11.574193548387097,,13.377419354838715,19.051612903225806,14.209677419354836,,20.016129032258064,,16.77741935483871,15.532258064516126,16.2,,15.651612903225805,15.82258064516129,16.07741935483871,14.561290322580648,13.85483870967742,13.648387096774192
2001-09-30,23.553333333333335,22.086666666666666,15.02,18.92,20.46666666666666,13.499999999999998,,14.346666666666666,19.183333333333334,16.246666666666666,,19.495652173913044,,19.816666666666663,17.296666666666667,17.996666666666666,,17.653333333333332,17.626666666666665,17.69333333333333,16.136666666666667,15.729999999999997,14.856666666666666
2001-10-31,23.541935483870965,21.980645161290322,15.754838709677419,20.18387096774193,21.274193548387093,14.49032258064516,,15.583870967741934,20.425806451612907,17.793548387096774,,20.406896551724138,,20.506451612903227,17.812903225806448,18.483870967741936,,17.638709677419357,18.393548387096775,17.46451612903226,16.361290322580647,16.248387096774195,15.261290322580644
2001-11-30,24.15,22.360000000000003,15.746666666666666,21.496666666666666,22.456666666666663,16.066666666666666,,16.233333333333334,20.303333333333335,19.44,,18.389999999999997,,21.303333333333327,18.30333333333333,19.496666666666663,,18.593333333333327,18.689999999999998,18.21333333333333,17.06333333333333,17.419999999999998,16.503333333333334
2001-12-31,23.012903225806454,21.677419354838708,15.477419354838707,19.929032258064513,21.554838709677416,14.451612903225806,,15.21935483870968,20.48387096774194,17.370967741935484,,19.17419354838709,,19.348387096774193,17.538709677419355,17.906451612903226,,17.06451612903226,17.335483870967742,17.006451612903227,15.79032258064516,15.703225806451615,14.583870967741934
2002-01-31,22.861290322580643,20.56451612903226,14.748387096774193,19.74516129032258,20.58709677419355,13.974193548387097,,14.806451612903226,20.254838709677422,17.85806451612903,,18.45483870967742,,17.700000000000003,16.867741935483867,17.654838709677417,,15.7,16.58709677419355,16.148387096774194,15.464516129032257,15.303225806451612,14.877419354838713
2002-02-28,20.642857142857146,19.025000000000002,13.759999999999998,16.464285714285715,16.960714285714285,11.364285714285714,,12.814285714285715,16.1,15.028571428571428,,17.3,,15.01428571428571,15.0,16.096428571428568,,14.982142857142856,15.132142857142856,14.664285714285716,14.564285714285715,14.446428571428573,13.342857142857142
2002-03-31,20.958064516129035,19.506451612903227,14.270967741935479,16.990322580645163,18.325806451612902,11.827586206896552,,13.864516129032259,17.519354838709678,15.196774193548384,,18.051612903225802,,15.941935483870969,15.89032258064516,16.232258064516127,,15.7,16.39032258064516,15.341935483870966,14.819354838709677,14.651612903225809,13.925806451612903
2002-04-30,21.873333333333335,19.696666666666665,14.2,16.799999999999997,18.259999999999998,11.241379310344826,,13.323333333333334,18.393333333333334,14.669999999999998,,18.863333333333337,,16.086666666666666,15.346666666666668,15.953333333333335,,15.756666666666668,16.74,15.313333333333334,14.553333333333331,14.296666666666665,13.933333333333332
2002-05-31,21.812903225806448,20.0483870967742,15.648387096774192,16.993548387096773,18.58709677419355,11.780645161290321,,13.538709677419357,18.845161290322583,14.238709677419356,,19.735483870967744,,16.37741935483871,15.745161290322581,16.11935483870968,,16.09032258064516,17.425806451612903,16.219354838709673,14.803225806451612,14.51290322580645,13.648387096774194
2002-06-30,21.34666666666667,19.9,15.20333333333333,16.876666666666665,18.836666666666666,11.6,,13.180000000000001,18.513333333333332,13.913333333333334,,19.780000000000005,,16.173333333333332,15.726666666666667,15.91666666666666,,15.626666666666667,16.85666666666667,15.813333333333333,14.476666666666667,14.173333333333337,13.446666666666664
2002-07-31,20.01290322580645,17.661290322580648,12.703225806451611,13.793548387096775,16.26774193548387,8.88,,9.874193548387096,16.31290322580645,9.880645161290321,,18.029032258064515,,13.86774193548387,13.46774193548387,14.177419354838708,,14.0,14.93225806451613,13.412903225806451,13.351612903225806,13.141935483870967,12.680645161290323
2002-08-31,22.177419354838708,20.54516129032258,14.880645161290321,16.36451612903226,18.96451612903226,11.412903225806453,,12.919354838709678,19.083870967741934,13.935483870967744,,19.864516129032264,,16.580645161290324,15.86451612903226,15.970967741935485,,16.22258064516129,16.693548387096776,16.483870967741936,15.01935483870968,14.474193548387097,13.912903225806453
2002-09-30,22.8,20.88,14.913333333333332,17.850000000000005,20.166666666666668,13.166666666666668,,14.4,19.12,16.19,,19.306666666666665,,17.583333333333332,16.72666666666667,17.38,,17.18666666666667,17.39333333333333,17.10666666666667,15.540000000000001,15.193333333333333,14.469999999999999
2002-10-31,23.012903225806458,21.538709677419355,15.293333333333331,19.438709677419357,21.496774193548386,13.787096774193548,,15.06774193548387,20.65161290322581,17.238709677419358,,19.17096774193548,,18.103225806451615,16.8,17.58064516129032,,16.58709677419355,17.25161290322581,16.870967741935484,15.664516129032258,14.938709677419356,14.419354838709674
2002-11-30,23.333333333333332,21.360000000000007,15.726666666666667,19.77333333333333,21.306666666666665,14.08,,15.513333333333334,20.543333333333337,18.16551724137931,,19.113333333333333,,18.566666666666666,17.383333333333333,18.553333333333335,,17.220000000000002,17.936666666666667,17.35333333333333,16.073333333333334,15.866666666666667,15.2
2002-12-31,21.993548387096777,21.151612903225807,14.93548387096774,18.838709677419356,20.838709677419356,14.083870967741934,,15.716129032258062,20.98064516129032,17.63548387096774,,19.72903225806452,,17.75483870967742,16.82903225806452,17.538709677419355,,16.774193548387096,17.445161290322577,16.58709677419355,15.64516129032258,15.758064516129032,15.141935483870965
2003-01-31,22.596774193548384,20.23548387096774,14.73333333333333,18.43870967741935,19.764516129032252,12.767741935483869,,14.583870967741934,19.919354838709673,16.783870967741933,13.077419354838709,19.403225806451612,,16.470967741935482,16.2741935483871,16.658064516129034,,15.609677419354838,16.487096774193546,15.451612903225804,15.14193548387097,14.829032258064519,14.032258064516126
