,ho00000686,ho00000687,ho00000690,ho00000755,ho00000758,ho00000765,ho00000807,ho00000849,ho00000851,ho00000860,ho00158208,ho00158321,ho00158327,ho00000776,ho00000778,ho00000779,ho00000780,ho00000781,ho00000783,ho00000785,ho00000786,ho00000787,ho00000788
2001-10-31,78.1,39.0,98.4,16.3,22.599999999999998,9.399999999999999,5.6,10.799999999999999,6.9,4.7,13.799999999999999,0.02,3.0,34.8,49.6,57.50000000000001,71.3,44.9,75.69999999999999,61.29999999999999,92.0,75.9,73.30000000000001
2001-11-30,75.4,93.79999999999998,67.8,6.71,1.2000000000000002,5.1499999999999995,0.5,0.0,0.0,2.8,2.7,0.0,13.3,21.4,62.699999999999996,46.099999999999994,36.9,42.499999999999986,45.2,57.0,63.3,41.199999999999996,35.7
2001-12-31,91.49999999999999,126.89999999999999,74.30000000000003,32.3,12.8,17.25,3.2,2.1,7.4,28.700000000000003,5.829999999999999,2.2199999999999998,23.2,100.8,57.39999999999999,73.7,52.6,121.3,131.7,86.99999999999999,123.6,136.00000000000003,106.50000000000001
2002-01-31,142.8,192.60000000000002,102.5,125.5,72.19999999999999,54.2,37.7,56.3,71.99999999999999,78.19999999999999,75.01,5.63,72.9,162.6,116.99999999999999,121.3,93.7,157.39999999999998,90.4,90.3,90.9,112.9,111.5
2002-02-28,255.9,247.3,176.9,233.5,149.90000000000003,178.05,220.60000000000002,116.5,131.5,187.8,128.82999999999998,39.42,78.4,191.4,107.00000000000001,150.7,166.9,116.39999999999999,198.79999999999998,115.89999999999999,175.5,260.29999999999995,232.70000000000002
2002-03-31,149.1,238.9,144.79999999999998,128.1,133.3,159.45,129.89999999999998,90.9,98.2,150.79999999999995,138.24,31.949999999999996,134.20000000000002,67.99999999999999,94.60000000000001,139.4,160.5,98.4,91.7,104.50000000000001,151.5,214.0,163.8
2002-04-30,43.9,62.8,62.0,65.01,36.3,68.1,16.900000000000002,64.30000000000001,24.0,55.300000000000004,33.78999999999999,0.03,74.6,60.60000000000001,149.2,67.60000000000001,125.7,49.1,70.30000000000001,42.5,102.30000000000001,43.8,85.9
2002-05-31,22.6,18.1,8.3,2.11,12.2,6.0,0.0,3.2,1.0,1.2999999999999998,4.709999999999999,0.8200000000000001,11.0,21.500000000000004,8.8,21.7,28.7,10.299999999999999,47.8,5.7,21.1,18.1,12.0
2002-06-30,4.2,1.1,13.0,3.8,0.0,0.15000000000000002,8.7,2.6,0.30000000000000004,0.0,3.6000000000000005,0.7,0.0,5.2,1.8,4.0,6.2,1.9,6.5,4.4,4.8,4.4,2.0
2002-07-31,18.5,19.8,34.8,28.610000000000003,35.800000000000004,21.55,23.1,30.1,29.9,9.5,33.019999999999996,14.3,6.3,12.4,25.4,18.700000000000003,16.0,10.8,23.6,16.5,23.5,32.199999999999996,17.599999999999998
2002-08-31,18.8,7.5,9.1,0.21000000000000002,0.3,2.45,0.0,0.0,0.0,1.8,0.51,0.0,0.0,11.2,4.4,9.1,22.9,9.0,20.400000000000002,4.9,6.100000000000001,13.799999999999997,13.7
2002-09-30,29.7,22.9,25.4,11.81,0.8,0.4,0.0,0.0,0.0,0.2,3.8099999999999996,0.0,0.0,21.3,25.6,16.4,8.8,15.0,17.7,27.900000000000002,37.3,64.6,62.4
2002-10-31,61.6,49.2,67.30000000000001,15.21,2.0,20.75,0.0,2.9,0.0,10.9,6.109999999999999,0.0,5.0,106.30000000000001,131.6,83.3,116.29999999999998,187.29999999999995,119.10000000000002,90.0,140.10000000000002,117.49999999999999,146.09999999999997
2002-11-30,113.99999999999999,105.5,85.4,60.50000000000001,33.0,53.10000000000001,9.7,21.300000000000004,22.9,36.0,64.22,0.01,48.699999999999996,87.89999999999999,85.99999999999999,92.60000000000001,78.00000000000001,87.1,54.2,58.00000000000001,85.8,136.70000000000002,89.70000000000002
2002-12-31,156.29999999999998,121.89999999999998,149.4,123.2,103.50000000000001,90.3,22.1,31.1,27.6,55.7,65.35000000000001,2.71,46.8,91.89999999999999,134.6,177.4,105.3,170.59999999999997,107.29999999999998,125.69999999999999,116.8,124.0,109.19999999999999
2003-01-31,164.69999999999996,197.79999999999995,120.4,83.89999999999998,40.29999999999999,91.5,36.2,24.000000000000004,39.900000000000006,83.2,43.709999999999994,13.2,76.5,201.0,181.6,204.29999999999995,217.20000000000002,149.9,179.20000000000002,225.10000000000002,216.50000000000003,300.0,250.8
